,Ad_ID,Number_of_rooms,Metro,Address,Area_m2,Price,Repair,Windows,Children/pets_allowed,Floor flat,Design,Number of storeys in the house,Bathroom_separated,Bathroom_combined,Balcon,Loggia,pass_elevator,fr_elevator
12913,271551135,3,м. Первомайская ,"Москва, Средняя Первомайская улица, 34",169.0,120000.0,2,0,2,9,5,19,0,1,0,1,1,1
12914,197510080,1,м. Первомайская ,"Москва, Нижняя Первомайская улица, 68/7",16.0,24500.0,1,0,0,2,2,5,0,1,1,0,1,0
12915,274621477,1,м. Первомайская ,"Москва, 16-я Парковая улица, 27",33.0,25000.0,0,0,3,3,3,9,0,1,1,0,1,0
12916,190575793,1,м. Первомайская ,"Москва, 16-я Парковая улица, 18",30.0,28000.0,1,0,3,5,0,9,0,1,0,1,1,0
12917,273688854,1,м. Первомайская ,"Москва, Средняя Первомайская улица, 36",35.0,30000.0,0,0,0,8,2,14,0,1,1,0,1,0
12918,274760690,2,м. Первомайская ,"Москва, Измайловский бульвар, 63/12к3",42.5,32000.0,1,0,2,3,2,5,1,0,1,0,1,0
12919,239079716,1,м. Первомайская ,"Москва, 13-я Парковая улица, 22к4",38.0,35000.0,1,0,0,11,0,16,0,1,0,1,1,0
12920,274781661,1,м. Первомайская ,"Москва, 15-я Парковая улица, 27/1",38.0,35000.0,2,0,0,14,4,15,0,1,1,0,1,1
12921,274282429,1,м. Первомайская ,"Москва, Первомайская улица, 100",38.1,36000.0,2,0,0,3,0,16,1,0,0,1,1,0
12922,274685657,1,м. Первомайская ,"Москва, Первомайская улица, 92",50.0,38000.0,1,0,0,14,2,16,1,0,0,1,1,0
12923,266087108,2,м. Первомайская ,"Москва, 13-я Парковая улица, 20К3",42.2,38000.0,1,0,2,2,2,5,0,1,1,0,1,0
12924,273608211,2,м. Первомайская ,"Москва, 13-я Парковая улица, 20К4",45.0,40000.0,2,0,2,4,2,5,0,1,1,0,1,0
12925,274656377,1,м. Первомайская ,"Москва, Нижняя Первомайская улица, 29",34.0,40000.0,1,0,2,5,2,9,0,1,1,0,1,0
12926,274493887,2,м. Первомайская ,"Москва, Измайловский проспект, 123/1К1",42.0,40000.0,1,0,3,4,3,5,0,1,1,0,1,0
